Sample1,Sample2,Distance
23,34,0.494931254
23,101,0.038431254
23,129,0.307450028
23,200,0.917675043
23,296,0.076862507
23,410,0.879243789
23,494,0.192156268
23,509,0.687087521
23,542,0.917675043
23,662,0.076862507
23,690,0.687087521
23,710,0.461175043
23,759,0.499606296
23,771,0.648656268
23,884,0.533362507
23,985,0.763950028
23,1047,0.840812536
23,1072,0.730193818
23,1249,0.99453755
23,1335,0
23,1369,0.687087521
23,1389,0.610225014
23,1454,0.763950028
23,1487,0.917675043
23,1567,0.533362507
23,1729,0.845487578
23,1732,0.956106296
23,1812,0.730193818
23,1833,0.533362507
23,1928,0.038431254
23,2029,0.494931254
23,2079,0.913
23,2117,0.230587521
23,2130,0.4565
23,2522,0.576468803
23,2664,0.763950028
23,2709,0.687087521
23,2755,0.840812536
23,2824,0.687087521
23,2833,0.725518775
23,2888,0.230587521
23,2973,0.956106296
23,3138,0.269018775
23,3237,0.038431254
23,3308,0.115293761
23,3513,0.53803755
23,3670,0.725518775
23,3674,0.494931254
23,3749,0.076862507
23,3797,0.115293761
23,4004,0.648656268
23,4059,0.307450028
23,4086,0.989862507
23,4092,0.494931254
23,4125,0.989862507
23,4150,0.763950028
23,4166,0.956106296
23,4236,0.763950028
23,4319,0.917675043
23,4380,0.989862507
23,4557,0.115293761
23,4714,0.076862507
23,4810,0.648656268
23,4932,0.960781339
23,5163,0.840812536
23,5211,0.345881282
23,5279,0.763950028
23,5328,0.807056325
23,5438,0.384312536
23,5498,0.038431254
23,5553,0.840812536
23,5607,0.951431254
23,5621,0.533362507
23,5630,0.610225014
23,5697,0.384312536
23,5728,0.076862507
23,5730,0.345881282
23,5900,0.038431254
23,6099,0.153725014
23,6286,0.345881282
23,6330,0.533362507
23,6373,0.917675043
23,6380,0.648656268
23,6441,0.461175043
23,6491,0.115293761
23,6601,0.494931254
23,6697,0.648656268
23,6729,0.153725014
23,6751,0.648656268
23,6764,0.840812536
23,6779,0.951431254
23,6959,0.269018775
34,101,0.4565
34,129,0.802381282
34,296,0.494931254
34,494,0.610225014
34,556,0.687087521
34,662,0.571793761
34,710,0.956106296
34,759,0.917675043
34,985,0.345881282
34,1335,0.494931254
34,1454,0.725518775
34,1833,0.115293761
34,1928,0.4565
34,2029,0.913
34,2117,0.648656268
34,2130,0.951431254
34,2755,0.422743789
34,2888,0.648656268
34,3138,0.763950028
34,3237,0.533362507
34,3308,0.533362507
34,3674,0.989862507
34,3749,0.571793761
34,3797,0.610225014
34,3846,0.879243789
34,4059,0.802381282
34,4092,0.913
34,4319,0.879243789
34,4533,0.576468803
34,4557,0.610225014
34,4714,0.494931254
34,5042,0.913
34,5211,0.763950028
34,5279,0.725518775
34,5438,0.879243789
34,5498,0.4565
34,5553,0.802381282
34,5607,0.4565
34,5630,0.648656268
34,5697,0.879243789
34,5728,0.571793761
34,5730,0.763950028
34,5770,0.989862507
34,5900,0.4565
34,6099,0.648656268
34,6286,0.840812536
34,6330,0.951431254
